time[ms],[Ca2+]_i[mM]
5.593252847154131757e+01,3.850467801094055176e-01
5.596137139756670820e+01,3.872719109058380127e-01
5.599021432359209882e+01,3.894970118999481201e-01
5.601906106431475507e+01,3.917221426963806152e-01
5.604790399034014570e+01,3.939472436904907227e-01
5.607674691636553632e+01,3.961723744869232178e-01
5.610558984239092695e+01,3.983974754810333252e-01
5.613443658311358320e+01,4.006226062774658203e-01
5.616327950913897382e+01,4.028477072715759277e-01
5.619212243516436445e+01,4.050728380680084229e-01
5.622096917588702070e+01,4.072979688644409180e-01
5.624981210191241132e+01,4.095230698585510254e-01
5.627865502793780195e+01,4.117482006549835205e-01
5.630750176866045820e+01,4.139733016490936279e-01
5.633634469468584882e+01,4.161984324455261230e-01
5.636518762071123945e+01,4.184235334396362305e-01
5.639403436143389570e+01,4.206486642360687256e-01
5.642287728745928632e+01,4.228737950325012207e-01
5.645172021348467695e+01,4.250988960266113281e-01
5.648056695420733320e+01,4.273240268230438232e-01
5.650940988023272382e+01,4.295491278171539307e-01
5.653825280625811445e+01,4.317742586135864258e-01
5.656709573228350507e+01,4.339993596076965332e-01
5.659878060777178632e+01,4.362226724624633789e-01
5.663344094712725507e+01,4.384441077709197998e-01
5.666809747178545820e+01,4.406655132770538330e-01
5.670275781114092695e+01,4.428869187831878662e-01
5.673741815049639570e+01,4.451083242893218994e-01
5.677207848985186445e+01,4.473297595977783203e-01
5.680673501451006757e+01,4.495511651039123535e-01
5.684139535386553632e+01,4.517725706100463867e-01
5.687605569322100507e+01,4.539940059185028076e-01
5.691071221787920820e+01,4.562154114246368408e-01
5.694537255723467695e+01,4.584368169307708740e-01
5.698003289659014570e+01,4.606582522392272949e-01
5.701469323594561445e+01,4.628796577453613281e-01
5.704934976060381757e+01,4.651010632514953613e-01
5.708401009995928632e+01,4.673224985599517822e-01
5.711867043931475507e+01,4.695439040660858154e-01
5.715333077867022382e+01,4.717653095722198486e-01
5.718798730332842695e+01,4.739867448806762695e-01
5.722264764268389570e+01,4.762081503868103027e-01
5.725730798203936445e+01,4.784295558929443359e-01
5.729196832139483320e+01,4.806509912014007568e-01
5.732662484605303632e+01,4.828723967075347900e-01
5.736331078965655195e+01,4.850922822952270508e-01
5.740333840806475507e+01,4.873096644878387451e-01
5.744336602647295820e+01,4.895270466804504395e-01
5.748339364488116132e+01,4.917444586753845215e-01
5.752342126328936445e+01,4.939618408679962158e-01
5.756344888169756757e+01,4.961792230606079102e-01
5.760347650010577070e+01,4.983966052532196045e-01
5.764350411851397382e+01,5.006139874458312988e-01
5.768353173692217695e+01,5.028313994407653809e-01
5.772355935533038007e+01,5.050487518310546875e-01
5.776358697373858320e+01,5.072661638259887695e-01
5.780361459214678632e+01,5.094835758209228516e-01
5.784364221055498945e+01,5.117009282112121582e-01
5.788366982896319257e+01,5.139183402061462402e-01
5.792369744737139570e+01,5.161356925964355469e-01
5.796372506577959882e+01,5.183531045913696289e-01
5.800375268418780195e+01,5.205705165863037109e-01
5.804378030259600507e+01,5.227878689765930176e-01
5.808380792100420820e+01,5.250052809715270996e-01
5.812383553941241132e+01,5.272226333618164062e-01
5.816386315782061445e+01,5.294400453567504883e-01
5.820425698716631757e+01,5.316570997238159180e-01
5.824929711778155195e+01,5.338702201843261719e-01
5.829433343369952070e+01,5.360832810401916504e-01
5.833936974961748945e+01,5.382964015007019043e-01
5.838440988023272382e+01,5.405095219612121582e-01
5.842944619615069257e+01,5.427225828170776367e-01
5.847448632676592695e+01,5.449357032775878906e-01
5.851952264268389570e+01,5.471488237380981445e-01
5.856456277329913007e+01,5.493618845939636230e-01
5.860959908921709882e+01,5.515750050544738770e-01
5.865463540513506757e+01,5.537881255149841309e-01
5.869967553575030195e+01,5.560011863708496094e-01
5.874471185166827070e+01,5.582143068313598633e-01
5.878975198228350507e+01,5.604273676872253418e-01
5.883478829820147382e+01,5.626404881477355957e-01
5.887982461411944257e+01,5.648536086082458496e-01
5.892486474473467695e+01,5.670666694641113281e-01
5.896990106065264570e+01,5.692797899246215820e-01
5.901494119126788007e+01,5.714929103851318359e-01
5.905997750718584882e+01,5.737059712409973145e-01
5.910501763780108320e+01,5.759190917015075684e-01
5.915363595445147382e+01,5.781287550926208496e-01
5.920341775376788007e+01,5.803373456001281738e-01
5.925319955308428632e+01,5.825458765029907227e-01
