time[ms],voltage[mV]
5.402557371687789356e+01,-2.214883041381835938e+01
5.409863661360640918e+01,-2.186805534362792969e+01
5.417169569563765918e+01,-2.158728218078613281e+01
5.422932814192672168e+01,-2.130342483520507812e+01
5.428566740584273731e+01,-2.101930809020996094e+01
5.434200666975875293e+01,-2.073519325256347656e+01
5.439834593367476856e+01,-2.045107841491699219e+01
5.445468519759078418e+01,-2.016696357727050781e+01
5.451102446150679981e+01,-1.988284683227539062e+01
5.456736372542281543e+01,-1.959873199462890625e+01
5.462370298933883106e+01,-1.931461715698242188e+01
5.467380140852828418e+01,-1.902954483032226562e+01
5.471757887434859668e+01,-1.874350547790527344e+01
5.476135634016890918e+01,-1.845746612548828125e+01
5.480513380598922168e+01,-1.817142677307128906e+01
5.484891127180953418e+01,-1.788538742065429688e+01
5.489268873762984668e+01,-1.759934806823730469e+01
5.493646620345015918e+01,-1.731330871582031250e+01
5.498024366927047168e+01,-1.702726936340332031e+01
5.502402113509078418e+01,-1.674123001098632812e+01
5.506278608870406543e+01,-1.645459175109863281e+01
5.509764479231734668e+01,-1.616748428344726562e+01
5.513250349593062793e+01,-1.588037776947021484e+01
5.516736219954390918e+01,-1.559327030181884766e+01
5.520222090315719043e+01,-1.530616378784179688e+01
5.523707960677047168e+01,-1.501905727386474609e+01
5.527193831038375293e+01,-1.473194980621337891e+01
5.530679319929976856e+01,-1.444484329223632812e+01
5.534165190291304981e+01,-1.415773677825927734e+01
5.537592314314742481e+01,-1.387057209014892578e+01
5.540499113631148731e+01,-1.358290386199951172e+01
5.543406294417281543e+01,-1.329523563385009766e+01
5.546313093733687793e+01,-1.300756740570068359e+01
5.549220274519820606e+01,-1.271989917755126953e+01
5.552127073836226856e+01,-1.243222999572753906e+01
5.555034254622359668e+01,-1.214456176757812500e+01
5.557941435408492481e+01,-1.185689353942871094e+01
5.560848234724898731e+01,-1.156922531127929688e+01
5.563755415511031543e+01,-1.128155708312988281e+01
5.566628264021773731e+01,-1.099386024475097656e+01
5.569224546980758106e+01,-1.070593261718750000e+01
5.571821211409469043e+01,-1.041800498962402344e+01
5.574417494368453418e+01,-1.013007736206054688e+01
5.577013777327437793e+01,-9.842149734497070312e+00
5.579610441756148731e+01,-9.554223060607910156e+00
