time[ms],[Ca2+]_i[μM]
5.282787348697059571e+01,2.177898734807968140e-01
5.283831812808387696e+01,2.198974639177322388e-01
5.285001398990028321e+01,2.220047712326049805e-01
5.286170603701942383e+01,2.241120934486389160e-01
5.287340189883583008e+01,2.262194007635116577e-01
5.288509394595497071e+01,2.283267080783843994e-01
5.289678980777137696e+01,2.304340153932571411e-01
5.290848185489051758e+01,2.325413227081298828e-01
5.292017771670692383e+01,2.346486300230026245e-01
5.293186976382606446e+01,2.367559373378753662e-01
5.294356562564247071e+01,2.388632446527481079e-01
5.295525767276161133e+01,2.409705668687820435e-01
5.296694971988075196e+01,2.430778741836547852e-01
5.297864558169715821e+01,2.451851814985275269e-01
5.299033762881629883e+01,2.472924888134002686e-01
5.300203349063270508e+01,2.493997961282730103e-01
5.301372553775184571e+01,2.515071034431457520e-01
5.302542139956825196e+01,2.536144256591796875e-01
5.303711344668739258e+01,2.557217180728912354e-01
5.304880930850379883e+01,2.578290402889251709e-01
5.306050135562293946e+01,2.599363327026367188e-01
5.307219721743934571e+01,2.620436549186706543e-01
5.308388926455848633e+01,2.641509771347045898e-01
5.309612681338661133e+01,2.662581205368041992e-01
5.310978342959754883e+01,2.683649063110351562e-01
5.312344004580848633e+01,2.704716920852661133e-01
5.313709666201942383e+01,2.725784778594970703e-01
5.315075327823036133e+01,2.746852636337280273e-01
5.316440989444129883e+01,2.767920494079589844e-01
5.317806651065223633e+01,2.788988351821899414e-01
5.319172312686317383e+01,2.810055911540985107e-01
5.320537974307411133e+01,2.831123769283294678e-01
5.321903635928504883e+01,2.852191627025604248e-01
5.323269297549598633e+01,2.873259484767913818e-01
5.324634959170692383e+01,2.894327342510223389e-01
5.326000620791786133e+01,2.915395200252532959e-01
5.327366282412879883e+01,2.936463057994842529e-01
5.328731944033973633e+01,2.957530915737152100e-01
5.330097605655067383e+01,2.978598773479461670e-01
5.331463267276161133e+01,2.999666631221771240e-01
5.332828928897254883e+01,3.020734190940856934e-01
5.334194590518348633e+01,3.041802048683166504e-01
5.335560252139442383e+01,3.062869906425476074e-01
5.336925913760536133e+01,3.083937764167785645e-01
5.338309504458778321e+01,3.105005025863647461e-01
5.339897181460731446e+01,3.126066029071807861e-01
5.341484858462684571e+01,3.147126734256744385e-01
5.343072535464637696e+01,3.168187737464904785e-01
5.344660212466590821e+01,3.189248740673065186e-01
5.346247889468543946e+01,3.210309445858001709e-01
5.347835566470497071e+01,3.231370449066162109e-01
5.349423243472450196e+01,3.252431154251098633e-01
5.351011301944129883e+01,3.273492157459259033e-01
5.352598978946083008e+01,3.294553160667419434e-01
5.354186655948036133e+01,3.315613865852355957e-01
5.355774332949989258e+01,3.336674869060516357e-01
5.357362009951942383e+01,3.357735872268676758e-01
5.358949686953895508e+01,3.378796577453613281e-01
5.360537363955848633e+01,3.399857580661773682e-01
5.362125040957801758e+01,3.420918285846710205e-01
5.363713099429481446e+01,3.441979289054870605e-01
5.365300776431434571e+01,3.463040292263031006e-01
5.366888453433387696e+01,3.484100997447967529e-01
5.368476130435340821e+01,3.505162000656127930e-01
5.370063807437293946e+01,3.526222705841064453e-01
5.371876170108192383e+01,3.547275662422180176e-01
5.373721339175575196e+01,3.568327128887176514e-01
5.375566508242958008e+01,3.589378595352172852e-01
5.377411677310340821e+01,3.610430061817169189e-01
5.379256846377723633e+01,3.631481528282165527e-01
5.381102015445106446e+01,3.652533292770385742e-01
5.382947184512489258e+01,3.673584759235382080e-01
5.384792353579872071e+01,3.694636225700378418e-01
5.386637522647254883e+01,3.715687692165374756e-01
5.388482691714637696e+01,3.736739456653594971e-01
5.390327860782020508e+01,3.757790923118591309e-01
5.392173029849403321e+01,3.778842389583587646e-01
5.394018198916786133e+01,3.799893856048583984e-01
5.395863367984168946e+01,3.820945322513580322e-01
5.397708537051551758e+01,3.841997087001800537e-01
5.399553706118934571e+01,3.863048553466796875e-01
5.401398875186317383e+01,3.884100019931793213e-01
5.403244044253700196e+01,3.905151486396789551e-01
5.405089213321083008e+01,3.926202952861785889e-01
5.407183100650184571e+01,3.947243988513946533e-01
5.409334971377723633e+01,3.968282639980316162e-01
5.411486460635536133e+01,3.989321291446685791e-01
5.413638331363075196e+01,4.010359644889831543e-01
5.415790202090614258e+01,4.031398296356201172e-01
5.417942072818153321e+01,4.052436947822570801e-01
5.420093562075965821e+01,4.073475301265716553e-01
5.422245432803504883e+01,4.094513952732086182e-01
5.424397303531043946e+01,4.115552604198455811e-01
5.426549174258583008e+01,4.136590957641601562e-01
5.428700663516395508e+01,4.157629609107971191e-01
5.430852534243934571e+01,4.178668260574340820e-01
5.433004404971473633e+01,4.199706614017486572e-01
5.435155894229286133e+01,4.220745265483856201e-01
5.437307764956825196e+01,4.241783618927001953e-01
5.439459635684364258e+01,4.262822270393371582e-01
5.441611506411903321e+01,4.283860921859741211e-01
5.443784357974403321e+01,4.304898381233215332e-01
5.446312739322059571e+01,4.325918257236480713e-01
5.448841120669715821e+01,4.346938133239746094e-01
5.451369502017372071e+01,4.367958009243011475e-01
5.453897883365028321e+01,4.388977885246276855e-01
5.456426264712684571e+01,4.409997761249542236e-01
5.458954646060340821e+01,4.431017637252807617e-01
5.461483027407997071e+01,4.452037513256072998e-01
5.464011408755653321e+01,4.473057389259338379e-01
5.466539790103309571e+01,4.494077265262603760e-01
5.469068171450965821e+01,4.515096843242645264e-01
5.471596552798622071e+01,4.536116719245910645e-01
5.474124934146278321e+01,4.557136595249176025e-01
5.476653315493934571e+01,4.578156471252441406e-01
5.479181696841590821e+01,4.599176347255706787e-01
5.481710078189247071e+01,4.620196223258972168e-01
5.484238459536903321e+01,4.641216099262237549e-01
5.487135722110145508e+01,4.662214219570159912e-01
5.490143610904090821e+01,4.683206081390380859e-01
5.493151499698036133e+01,4.704197645187377930e-01
5.496159388491981446e+01,4.725189507007598877e-01
5.499167658755653321e+01,4.746181070804595947e-01
5.502175547549598633e+01,4.767172932624816895e-01
5.505183436343543946e+01,4.788164496421813965e-01
5.508191325137489258e+01,4.809156060218811035e-01
5.511199213931434571e+01,4.830147922039031982e-01
5.514207484195106446e+01,4.851139485836029053e-01
5.517215372989051758e+01,4.872131347656250000e-01
5.520223261782997071e+01,4.893122911453247070e-01
5.523231150576942383e+01,4.914114475250244141e-01
5.526239420840614258e+01,4.935106337070465088e-01
5.529315592715614258e+01,4.956093132495880127e-01
5.532962443301551758e+01,4.977039694786071777e-01
5.536609293887489258e+01,4.997985959053039551e-01
5.540256144473426758e+01,5.018932819366455078e-01
5.543902995059364258e+01,5.039879083633422852e-01
5.547549845645301758e+01,5.060825347900390625e-01
5.551196696231239258e+01,5.081772208213806152e-01
5.554843546817176758e+01,5.102718472480773926e-01
5.558490397403114258e+01,5.123664736747741699e-01
5.562137247989051758e+01,5.144611597061157227e-01
5.565784098574989258e+01,5.165557861328125000e-01
5.569430949160926758e+01,5.186504721641540527e-01
5.573077799746864258e+01,5.207450985908508301e-01
5.576929499575965821e+01,5.228379368782043457e-01
5.581478144595497071e+01,5.249246954917907715e-01
5.586027171084754883e+01,5.270114541053771973e-01
5.590575816104286133e+01,5.290982723236083984e-01
