time[ms],[Ca2+]_i[mM]
5.618059894049443415e+01,5.511201639736864610e-01
5.623199574414080359e+01,5.532109900735828756e-01
5.628339254778717304e+01,5.553018161734792901e-01
5.633478935143355670e+01,5.573926422733761488e-01
5.638618615507991905e+01,5.594834683732725633e-01
5.643758295872628850e+01,5.615742944731689779e-01
5.648897976237267216e+01,5.636651205730658365e-01
5.654037656601904160e+01,5.657559466729622510e-01
5.659177336966540395e+01,5.678467727728587766e-01
5.664317017331178761e+01,5.699375988727555242e-01
5.669456697695815706e+01,5.720284249726520498e-01
5.674596378060452651e+01,5.741192510725484643e-01
5.679736058425088885e+01,5.762100771724452120e-01
5.684875738789727251e+01,5.783009032723417375e-01
5.690015419154364196e+01,5.803917293722381521e-01
5.695155099519001141e+01,5.824825554721345666e-01
5.700294779883639507e+01,5.845733815720314253e-01
5.705434460248275741e+01,5.866642076719278398e-01
5.710574140612912686e+01,5.887550337718246984e-01
5.716513833356017926e+01,5.908367613546877672e-01
5.722649512436446884e+01,5.929162599907542575e-01
5.728785191516875841e+01,5.949957586268204146e-01
5.734920870597304088e+01,5.970752572628870158e-01
5.741056549677733045e+01,5.991547558989536171e-01
5.747192228758162003e+01,6.012342545350197742e-01
5.753327907838590960e+01,6.033137531710859314e-01
5.759463586919019207e+01,6.053932518071525326e-01
5.765599265999448164e+01,6.074727504432191338e-01
5.771734945079877122e+01,6.095522490792852910e-01
5.777870624160306079e+01,6.116317477153518922e-01
5.784006303240734326e+01,6.137112463514180494e-01
5.790141982321163283e+01,6.157907449874846506e-01
5.796277661401592241e+01,6.178702436235511408e-01
5.802413340482021198e+01,6.199497422596172980e-01
5.808549019562448734e+01,6.220292408956838992e-01
5.814684698642878402e+01,6.241087395317505004e-01
5.820820377723307359e+01,6.261882381678166576e-01
5.826956056803736317e+01,6.282677368038832588e-01
5.833091735884165985e+01,6.303472354399494160e-01
5.839227414964593521e+01,6.324267340760160172e-01
5.845363094045022478e+01,6.345062327120821744e-01
5.852481916054367872e+01,6.365722431440519191e-01
5.859855618379077669e+01,6.386347567520977986e-01
5.867229320703789597e+01,6.406972703601440111e-01
5.874603023028499393e+01,6.427597839681902236e-01
5.881976725353211322e+01,6.448222975762361031e-01
5.889350427677921829e+01,6.468848111842823156e-01
5.896724130002631625e+01,6.489473247923281951e-01
5.904097832327343554e+01,6.510098384003745187e-01
5.911471534652053350e+01,6.530723520084207312e-01
5.918845236976765278e+01,6.551348656164666107e-01
5.926218939301475785e+01,6.571973792245128232e-01
5.933592641626187003e+01,6.592598928325587027e-01
5.940966343950898931e+01,6.613224064406049152e-01
5.948340046275609438e+01,6.633849200486512387e-01
5.955713748600320656e+01,6.654474336566970072e-01
5.963087450925031163e+01,6.675099472647433307e-01
5.970461153249741670e+01,6.695724608727892102e-01
5.977834855574452888e+01,6.716349744808354227e-01
5.985208557899163395e+01,6.736974880888816353e-01
5.992582260223875323e+01,6.757600016969279588e-01
6.000954118486851030e+01,6.778057752849466766e-01
6.009920337988347683e+01,6.798415808723213827e-01
6.018886557489843625e+01,6.818773864596960887e-01
6.027852776991340988e+01,6.839131920470706838e-01
6.036818996492836220e+01,6.859489976344450568e-01
6.045785215994333583e+01,6.879848032218196519e-01
6.054751435495828815e+01,6.900206088091943579e-01
6.063717654997326179e+01,6.920564143965690640e-01
6.072683874498821410e+01,6.940922199839433260e-01
6.081650094000318774e+01,6.961280255713180320e-01
6.090616313501814716e+01,6.981638311586927381e-01
6.099582533003311369e+01,7.001996367460673332e-01
6.108548752504808732e+01,7.022354423334417062e-01
6.117514972006304674e+01,7.042712479208163012e-01
6.126481191507801327e+01,7.063070535081910073e-01
6.135447411009297269e+01,7.083428590955652693e-01
6.144413630510793922e+01,7.103786646829399753e-01
6.153379850012289864e+01,7.124144702703146814e-01
6.163433854425839087e+01,7.144274808523404241e-01
6.174529179077515550e+01,7.164186701164430016e-01
6.185624503729189172e+01,7.184098593805455790e-01
6.196719828380865636e+01,7.204010486446484895e-01
6.207815153032539257e+01,7.223922379087510670e-01
6.218910477684214300e+01,7.243834271728536445e-01
6.230005802335889342e+01,7.263746164369562219e-01
6.241101126987563674e+01,7.283658057010587994e-01
6.252196451639238717e+01,7.303569949651617099e-01
6.263291776290913759e+01,7.323481842292642874e-01
6.274387100942588802e+01,7.343393734933668648e-01
6.285482425594263844e+01,7.363305627574694423e-01
6.296577750245938887e+01,7.383217520215719087e-01
6.307673074897613930e+01,7.403129412856749303e-01
6.318768399549288972e+01,7.423041305497775078e-01
6.329863724200964015e+01,7.442953198138800852e-01
6.342826618166762387e+01,7.462358591594963064e-01
6.356888743630101857e+01,7.481465865001029059e-01
6.370950869093439906e+01,7.500573138407099494e-01
6.385012994556779375e+01,7.519680411813168819e-01
6.399075120020117424e+01,7.538787685219238144e-01
6.413137245483456184e+01,7.557894958625304138e-01
6.427199370946794943e+01,7.577002232031374573e-01
6.441261496410133702e+01,7.596109505437440568e-01
6.455323621873472462e+01,7.615216778843509893e-01
6.469385747336811221e+01,7.634324052249579218e-01
6.483447872800149980e+01,7.653431325655645212e-01
6.497509998263487319e+01,7.672538599061715647e-01
6.511572123726827499e+01,7.691645872467781642e-01
6.526125347130745524e+01,7.710570394786531168e-01
6.544462794628931590e+01,7.728086702957468468e-01
6.562800242127117656e+01,7.745603011128405768e-01
6.581137689625303722e+01,7.763119319299339738e-01
6.599475137123489787e+01,7.780635627470277038e-01
6.617812584621675853e+01,7.798151935641214338e-01
6.636150032119863340e+01,7.815668243812152749e-01
6.654487479618049406e+01,7.833184551983085608e-01
6.672824927116235472e+01,7.850700860154024019e-01
6.691162374614421537e+01,7.868217168324961319e-01
6.709499822112607603e+01,7.885733476495895289e-01
6.727837269610793669e+01,7.903249784666832589e-01
6.752168594309891603e+01,7.917358994017594798e-01
6.776538345669392527e+01,7.931446360506896331e-01
6.800908097028894872e+01,7.945533726996196755e-01
6.825277848388395796e+01,7.959621093485493848e-01
6.849647599747898141e+01,7.973708459974795382e-01
6.874017351107399065e+01,7.987795826464096915e-01
6.898387102466901410e+01,8.001883192953397339e-01
6.922756853826402335e+01,8.015970559442694432e-01
6.947471163209857536e+01,8.029676058465512467e-01
6.978344296357890642e+01,8.036555843779797925e-01
7.009217429505922325e+01,8.043435629094084494e-01
7.040090562653956852e+01,8.050315414408367731e-01
7.070963695801988536e+01,8.057195199722653189e-01
7.101836828950020220e+01,8.064074985036936427e-01
7.132709962098054746e+01,8.070954770351222995e-01
7.163583095246086430e+01,8.077834555665508454e-01
7.195414472524005589e+01,8.080806634572768044e-01
7.228055179611465064e+01,8.080478277627084482e-01
7.260695886698924539e+01,8.080149920681402032e-01
7.293336593786385436e+01,8.079821563735722911e-01
7.325977300873847753e+01,8.079493206790040460e-01
7.358618007961305807e+01,8.079164849844356899e-01
7.391029525311056148e+01,8.077238861610133158e-01
7.423203364120904268e+01,8.073656068513028750e-01
7.455377202930752389e+01,8.070073275415924341e-01
7.487551041740604774e+01,8.066490482318815491e-01
7.519724880550452895e+01,8.062907689221711083e-01
7.551898719360301016e+01,8.059324896124606674e-01
7.584072558170149136e+01,8.055742103027497825e-01
7.615612209361022167e+01,8.050372154824655402e-01
7.646963914155340092e+01,8.044472569410103802e-01
7.678315618949655175e+01,8.038572983995547760e-01
7.709667323743968836e+01,8.032673398580995050e-01
7.741019028538282498e+01,8.026773813166442340e-01
7.772370733332596160e+01,8.020874227751890739e-01
7.803722438126914085e+01,8.014974642337334698e-01
7.834726921420852364e+01,8.008404923849146151e-01
7.865209372963668955e+01,8.000827690729700459e-01
7.895691824506486967e+01,7.993250457610251436e-01
7.926174276049303558e+01,7.985673224490801303e-01
7.956656727592122991e+01,7.978095991371352280e-01
7.987139179134941003e+01,7.970518758251903257e-01
8.017621630677757594e+01,7.962941525132453124e-01
8.048104082220574185e+01,7.955364292013004102e-01
8.078221582416365720e+01,7.947224124108823728e-01
8.107893730633225005e+01,7.938397004032983206e-01
8.137565878850081447e+01,7.929569883957139353e-01
8.167238027066940731e+01,7.920742763881299942e-01
8.196910175283797173e+01,7.911915643805459419e-01
8.226582323500653615e+01,7.903088523729615567e-01
8.256254471717514321e+01,7.894261403653776155e-01
8.285926619934370763e+01,7.885434283577932302e-01
8.315574422751386408e+01,7.876574913440695935e-01
8.344521943329232272e+01,7.866787887756495623e-01
8.373469463907082400e+01,7.857000862072293090e-01
8.402416984484929685e+01,7.847213836388089447e-01
8.431364505062775550e+01,7.837426810703885804e-01
8.460312025640622835e+01,7.827639785019686602e-01
8.489259546218470120e+01,7.817852759335484070e-01
8.518207066796318827e+01,7.808065733651280427e-01
8.547154587374164691e+01,7.798278707967081225e-01
8.575923604372140119e+01,7.788280250974936036e-01
8.604230446355968809e+01,7.777734363685828711e-01
8.632537288339800341e+01,7.767188476396721386e-01
8.660844130323631873e+01,7.756642589107615171e-01
8.689150972307460563e+01,7.746096701818507846e-01
8.717457814291292095e+01,7.735550814529403851e-01
8.745764656275120785e+01,7.725004927240296526e-01
8.774071498258949475e+01,7.714459039951189201e-01
8.802378340242782429e+01,7.703913152662082986e-01
8.830499218703955933e+01,7.693165311039578125e-01
8.858238128445597681e+01,7.682002655602895302e-01
8.885977038187238009e+01,7.670840000166206929e-01
8.913715947928878336e+01,7.659677344729524107e-01
8.941454857670521505e+01,7.648514689292836843e-01
8.969193767412163254e+01,7.637352033856152911e-01
8.996932677153803581e+01,7.626189378419465648e-01
9.024671586895443909e+01,7.615026722982781715e-01
9.052410496637084236e+01,7.603864067546098893e-01
9.079981476294663878e+01,7.592531409096494599e-01
9.107211596434601120e+01,7.580853683559571898e-01
9.134441716574538361e+01,7.569175958022653639e-01
9.161671836714474182e+01,7.557498232485735379e-01
9.188901956854411424e+01,7.545820506948816009e-01
9.216132076994351507e+01,7.534142781411897749e-01
9.243362197134288749e+01,7.522465055874978379e-01
9.270592317274224570e+01,7.510787330338060119e-01
9.297822437414161811e+01,7.499109604801141860e-01
9.324847756729293735e+01,7.487236412404170149e-01
9.351614290681091290e+01,7.475116228998026635e-01
9.378380824632888846e+01,7.462996045591883121e-01
9.405147358584683559e+01,7.450875862185739607e-01
9.431913892536479693e+01,7.438755678779596092e-01
9.458680426488274406e+01,7.426635495373452578e-01
9.485446960440073383e+01,7.414515311967305733e-01
9.512213494391868096e+01,7.402395128561162219e-01
9.538980028343664230e+01,7.390274945155018704e-01
9.565390980446204594e+01,7.377832332067582044e-01
