time[ms],[Ca2+]_i[μM]
5.100112913679976856e+01,2.384472638368606567e-01
5.113955687117476856e+01,2.399474829435348511e-01
5.127798842024703418e+01,2.414476871490478516e-01
5.141641996931929981e+01,2.429479062557220459e-01
5.155484770369429981e+01,2.444481253623962402e-01
5.169327925276656543e+01,2.459483295679092407e-01
5.182917402815719043e+01,2.474578320980072021e-01
5.194414137434859668e+01,2.490439265966415405e-01
5.205911253523726856e+01,2.506300210952758789e-01
5.217407988142867481e+01,2.522161304950714111e-01
5.228905104231734668e+01,2.538022100925445557e-01
5.240401838850875293e+01,2.553883194923400879e-01
5.251898954939742481e+01,2.569744288921356201e-01
5.261769484114547168e+01,2.586072981357574463e-01
5.271134565901656543e+01,2.602547109127044678e-01
5.280499647688765918e+01,2.619021534919738770e-01
5.289864729475875293e+01,2.635495662689208984e-01
5.299229811262984668e+01,2.651969790458679199e-01
5.308594893050094043e+01,2.668443918228149414e-01
5.317487333845992481e+01,2.685025036334991455e-01
5.325015638899703418e+01,2.701914012432098389e-01
5.332543943953414356e+01,2.718802690505981445e-01
5.340072249007125293e+01,2.735691666603088379e-01
5.347600554060836231e+01,2.752580642700195312e-01
5.355128859114547168e+01,2.769469320774078369e-01
5.362657164168258106e+01,2.786358296871185303e-01
5.369377134871383106e+01,2.803390622138977051e-01
5.375395964217086231e+01,2.820547223091125488e-01
5.381415175032515918e+01,2.837703824043273926e-01
5.387434004378219043e+01,2.854860723018646240e-01
5.393453215193648731e+01,2.872017323970794678e-01
5.399472044539351856e+01,2.889173924922943115e-01
5.405491255354781543e+01,2.906330525875091553e-01
5.410850523543258106e+01,2.923579812049865723e-01
5.415687178206344043e+01,2.940902411937713623e-01
5.420523451399703418e+01,2.958225011825561523e-01
5.425360106062789356e+01,2.975547909736633301e-01
5.430196379256148731e+01,2.992870509624481201e-01
5.435032652449508106e+01,3.010193109512329102e-01
5.439869307112594043e+01,3.027515709400177002e-01
5.444443892073531543e+01,3.044868111610412598e-01
5.448404692244429981e+01,3.062289655208587646e-01
5.452365873885054981e+01,3.079710900783538818e-01
5.456327055525679981e+01,3.097132444381713867e-01
5.460287855696578418e+01,3.114553987979888916e-01
5.464249037337203418e+01,3.131975531578063965e-01
5.468209837508101856e+01,3.149397075176239014e-01
5.472171019148726856e+01,3.166818320751190186e-01
5.475688932967086231e+01,3.184281289577484131e-01
5.479055784773726856e+01,3.201758563518524170e-01
5.482423018050094043e+01,3.219235539436340332e-01
5.485789869856734668e+01,3.236712813377380371e-01
5.489156721663375293e+01,3.254189789295196533e-01
5.492523573470015918e+01,3.271667063236236572e-01
5.495890425276656543e+01,3.289144039154052734e-01
5.499257277083297168e+01,3.306621313095092773e-01
5.502320478987594043e+01,3.324123024940490723e-01
5.505346296858687793e+01,3.341628015041351318e-01
5.508372114729781543e+01,3.359133005142211914e-01
5.511397932600875293e+01,3.376637697219848633e-01
5.514423750471969043e+01,3.394142687320709229e-01
5.517449949812789356e+01,3.411647677421569824e-01
5.520475767683883106e+01,3.429152369499206543e-01
5.523501585554976856e+01,3.446657359600067139e-01
5.526443480086226856e+01,3.464168608188629150e-01
5.529355238509078418e+01,3.481682240962982178e-01
5.532266996931929981e+01,3.499195575714111328e-01
5.535178373885054981e+01,3.516709208488464355e-01
5.538090132307906543e+01,3.534222841262817383e-01
5.541001890730758106e+01,3.551736176013946533e-01
5.543913649153609668e+01,3.569249808788299561e-01
5.546825026106734668e+01,3.586763441562652588e-01
5.549761580061812793e+01,3.604274988174438477e-01
5.552763365340133106e+01,3.621781766414642334e-01
5.555765150618453418e+01,3.639288544654846191e-01
