voltage[mV],steady state
-4.401315689086914062e+01,3.851433517411351204e-03
-4.379681777954101562e+01,3.933976870030164719e-03
-4.358097076416015625e+01,4.019289277493953705e-03
-4.336562347412109375e+01,4.107409622520208359e-03
-4.315077590942382812e+01,4.198376089334487915e-03
-4.293643569946289062e+01,4.292228259146213531e-03
-4.272260665893554688e+01,4.389004316180944443e-03
-4.250929641723632812e+01,4.488743375986814499e-03
-4.229651260375976562e+01,4.591484088450670242e-03
-4.208425903320312500e+01,4.697265569120645523e-03
-4.187253952026367188e+01,4.806126002222299576e-03
-4.166135787963867188e+01,4.918104037642478943e-03
-4.145072555541992188e+01,5.033239256590604782e-03
-4.124064636230468750e+01,5.151569843292236328e-03
-4.103112030029296875e+01,5.273134913295507431e-03
-4.082215881347656250e+01,5.397973116487264633e-03
-4.061376571655273438e+01,5.526123102754354477e-03
-4.040594482421875000e+01,5.657623521983623505e-03
-4.019870376586914062e+01,5.792513489723205566e-03
-3.999204635620117188e+01,5.930832121521234512e-03
-3.978598022460937500e+01,6.072617135941982269e-03
-3.958051300048828125e+01,6.217908114194869995e-03
-3.937564086914062500e+01,6.366743706166744232e-03
-3.917137908935546875e+01,6.519162561744451523e-03
-3.896772766113281250e+01,6.675203330814838409e-03
-3.876469802856445312e+01,6.834905128926038742e-03
-3.856228637695312500e+01,6.998306605964899063e-03
-3.836050796508789062e+01,7.165446411818265915e-03
-3.815935897827148438e+01,7.336363662034273148e-03
-3.795885467529296875e+01,7.511096540838479996e-03
-3.775899124145507812e+01,7.689684163779020309e-03
-3.755978012084960938e+01,7.872166112065315247e-03
-3.736122512817382812e+01,8.058579638600349426e-03
-3.716333389282226562e+01,8.248964324593544006e-03
-3.696610641479492188e+01,8.443358354270458221e-03
-3.676955413818359375e+01,8.641801774501800537e-03
-3.657367706298828125e+01,8.844331838190555573e-03
-3.637848663330078125e+01,9.050988592207431793e-03
-3.618398666381835938e+01,9.261810220777988434e-03
