time[ms],current [pA]
-1.074456253051757812e+02,8.559069633483886719e-01
-1.073513183593750000e+02,8.550657629966735840e-01
-1.072573928833007812e+02,8.542239665985107422e-01
-1.071638412475585938e+02,8.533816337585449219e-01
-1.070706634521484375e+02,8.525387048721313477e-01
-1.069778442382812500e+02,8.516952395439147949e-01
-1.068853988647460938e+02,8.508511185646057129e-01
-1.067933120727539062e+02,8.500064015388488770e-01
-1.067015914916992188e+02,8.491610288619995117e-01
-1.066102218627929688e+02,8.483150601387023926e-01
-1.065192031860351562e+02,8.474684357643127441e-01
-1.064285354614257812e+02,8.466211557388305664e-01
-1.063382186889648438e+02,8.457732200622558594e-01
-1.062482452392578125e+02,8.449245691299438477e-01
-1.061586227416992188e+02,8.440752029418945312e-01
-1.060693283081054688e+02,8.432251811027526855e-01
-1.059803771972656250e+02,8.423743844032287598e-01
-1.058917541503906250e+02,8.415229320526123047e-01
-1.058034667968750000e+02,8.406707048416137695e-01
-1.057154998779296875e+02,8.398177027702331543e-01
-1.056278686523437500e+02,8.389639854431152344e-01
-1.055405502319335938e+02,8.381094336509704590e-01
-1.054535522460937500e+02,8.372541069984436035e-01
-1.053668746948242188e+02,8.363980054855346680e-01
-1.052805099487304688e+02,8.355410695075988770e-01
-1.051944580078125000e+02,8.346833586692810059e-01
-1.051087036132812500e+02,8.338247537612915039e-01
-1.050232620239257812e+02,8.329653143882751465e-01
-1.049381256103515625e+02,8.321050405502319336e-01
-1.048532791137695312e+02,8.312438726425170898e-01
-1.047687377929687500e+02,8.303818702697753906e-01
-1.046844863891601562e+02,8.295189142227172852e-01
-1.046005249023437500e+02,8.286551237106323242e-01
-1.045168457031250000e+02,8.277903199195861816e-01
-1.044334564208984375e+02,8.269246816635131836e-01
-1.043503494262695312e+02,8.260580301284790039e-01
-1.042675170898437500e+02,8.251904845237731934e-01
-1.041849670410156250e+02,8.243219256401062012e-01
-1.041026916503906250e+02,8.234524726867675781e-01
-1.040206756591796875e+02,8.225819468498229980e-01
-1.039389343261718750e+02,8.217104673385620117e-01
-1.038574600219726562e+02,8.208379745483398438e-01
-1.037762451171875000e+02,8.199644088745117188e-01
-1.036952819824218750e+02,8.190898895263671875e-01
-1.036145858764648438e+02,8.182142972946166992e-01
-1.035341339111328125e+02,8.173376321792602539e-01
-1.034539337158203125e+02,8.164598941802978516e-01
-1.033739852905273438e+02,8.155810832977294922e-01
-1.032942810058593750e+02,8.147011995315551758e-01
-1.032148132324218750e+02,8.138201832771301270e-01
-1.031355895996093750e+02,8.129380941390991211e-01
-1.030566024780273438e+02,8.120548725128173828e-01
-1.029778442382812500e+02,8.111704587936401367e-01
-1.028993148803710938e+02,8.102849721908569336e-01
-1.028210144042968750e+02,8.093982338905334473e-01
-1.027429351806640625e+02,8.085104227066040039e-01
-1.026650848388671875e+02,8.076213598251342773e-01
-1.025874481201171875e+02,8.067311048507690430e-01
-1.025100250244140625e+02,8.058396577835083008e-01
-1.024328155517578125e+02,8.049469590187072754e-01
-1.023558197021484375e+02,8.040530681610107422e-01
-1.022790298461914062e+02,8.031579256057739258e-01
-1.022024459838867188e+02,8.022615313529968262e-01
-1.021260604858398438e+02,8.013638854026794434e-01
-1.020498733520507812e+02,8.004649281501770020e-01
-1.019738769531250000e+02,7.995646595954895020e-01
-1.018980865478515625e+02,7.986631393432617188e-01
-1.018224716186523438e+02,7.977603077888488770e-01
-1.017470550537109375e+02,7.968561053276062012e-01
-1.016718139648437500e+02,7.959505915641784668e-01
-1.015967559814453125e+02,7.950437664985656738e-01
-1.015218811035156250e+02,7.941355109214782715e-01
-1.014471740722656250e+02,7.932259440422058105e-01
-1.013726425170898438e+02,7.923149466514587402e-01
-1.012982788085937500e+02,7.914025783538818359e-01
-1.012240905761718750e+02,7.904887795448303223e-01
-1.011500549316406250e+02,7.895736098289489746e-01
-1.010761871337890625e+02,7.886570096015930176e-01
-1.010024795532226562e+02,7.877389192581176758e-01
-1.009289245605468750e+02,7.868193984031677246e-01
-1.008555145263671875e+02,7.858983874320983887e-01
-1.007822647094726562e+02,7.849759459495544434e-01
-1.007091522216796875e+02,7.840520143508911133e-01
-1.006361923217773438e+02,7.831265330314636230e-01
-1.005633697509765625e+02,7.821995615959167480e-01
-1.004906845092773438e+02,7.812711000442504883e-01
-1.004181365966796875e+02,7.803410887718200684e-01
-1.003457183837890625e+02,7.794095277786254883e-01
-1.002734222412109375e+02,7.784763574600219727e-01
-1.002012634277343750e+02,7.775416970252990723e-01
-1.001292266845703125e+02,7.766054272651672363e-01
-1.000573120117187500e+02,7.756675481796264648e-01
-9.998551177978515625e+01,7.747280597686767578e-01
-9.991382598876953125e+01,7.737869620323181152e-01
-9.984225463867187500e+01,7.728442549705505371e-01
-9.977079010009765625e+01,7.718998789787292480e-01
-9.969943237304687500e+01,7.709538936614990234e-01
-9.962817382812500000e+01,7.700061798095703125e-01
-9.955702209472656250e+01,7.690568566322326660e-01
-9.948596954345703125e+01,7.681058049201965332e-01
-9.941500854492187500e+01,7.671530842781066895e-01
-9.934413909912109375e+01,7.661986351013183594e-01
-9.927336120605468750e+01,7.652424573898315430e-01
-9.920266723632812500e+01,7.642845511436462402e-01
-9.913205718994140625e+01,7.633248567581176758e-01
-9.906153106689453125e+01,7.623634934425354004e-01
-9.899108123779296875e+01,7.614002823829650879e-01
-9.892070007324218750e+01,7.604353427886962891e-01
-9.885039520263671875e+01,7.594686150550842285e-01
-9.878015899658203125e+01,7.585000395774841309e-01
-9.870999145507812500e+01,7.575296759605407715e-01
-9.863988494873046875e+01,7.565574645996093750e-01
-9.856983947753906250e+01,7.555834650993347168e-01
-9.849984741210937500e+01,7.546075582504272461e-01
-9.842991638183593750e+01,7.536298632621765137e-01
-9.836003112792968750e+01,7.526502013206481934e-01
-9.829019927978515625e+01,7.516686916351318359e-01
-9.822041320800781250e+01,7.506853342056274414e-01
-9.815066528320312500e+01,7.497000098228454590e-01
-9.808096313476562500e+01,7.487127780914306641e-01
-9.801129150390625000e+01,7.477236390113830566e-01
-9.794165802001953125e+01,7.467325329780578613e-01
-9.787205505371093750e+01,7.457394599914550781e-01
-9.780249023437500000e+01,7.447444200515747070e-01
-9.773294067382812500e+01,7.437474131584167480e-01
-9.766341400146484375e+01,7.427484393119812012e-01
-9.759391021728515625e+01,7.417474389076232910e-01
-9.752442932128906250e+01,7.407444119453430176e-01
-9.745495605468750000e+01,7.397393584251403809e-01
-9.738549041748046875e+01,7.387322783470153809e-01
-9.731604003906250000e+01,7.377231717109680176e-01
-9.724659729003906250e+01,7.367119789123535156e-01
-9.717715454101562500e+01,7.356987595558166504e-01
-9.710770416259765625e+01,7.346833944320678711e-01
-9.703826141357421875e+01,7.336659431457519531e-01
-9.696881103515625000e+01,7.326464056968688965e-01
-9.689934539794921875e+01,7.316247820854187012e-01
-9.682987213134765625e+01,7.306009531021118164e-01
-9.676039123535156250e+01,7.295750379562377930e-01
-9.669087982177734375e+01,7.285469770431518555e-01
-9.662135314941406250e+01,7.275167107582092285e-01
-9.655181121826171875e+01,7.264842391014099121e-01
-9.648223876953125000e+01,7.254496216773986816e-01
-9.641263580322265625e+01,7.244127988815307617e-01
-9.634300231933593750e+01,7.233737707138061523e-01
-9.627333068847656250e+01,7.223325371742248535e-01
-9.620362854003906250e+01,7.212890386581420898e-01
-9.613388061523437500e+01,7.202433347702026367e-01
-9.606408691406250000e+01,7.191953063011169434e-01
-9.599424743652343750e+01,7.181450724601745605e-01
-9.592436218261718750e+01,7.170925140380859375e-01
-9.585443115234375000e+01,7.160376310348510742e-01
-9.578443908691406250e+01,7.149804830551147461e-01
-9.571438598632812500e+01,7.139210104942321777e-01
-9.564427947998046875e+01,7.128592133522033691e-01
-9.557411193847656250e+01,7.117950916290283203e-01
-9.550386810302734375e+01,7.107285857200622559e-01
-9.543356323242187500e+01,7.096597552299499512e-01
-9.536318206787109375e+01,7.085885405540466309e-01
-9.529272460937500000e+01,7.075148820877075195e-01
